player_id,gp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,pass_air_yd,pass_rz_att,rush_att,rush_yd,rush_td,rush_btkl,rush_yac,rush_rz_att,rush_tkl_loss,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_yar,rec_drop,rec_rz_tgt,fum,fum_lost,st_td,off_snp,tm_off_snp,bonus_pass_yd_300,bonus_pass_yd_400,bonus_rush_yd_100,bonus_rush_yd_200,bonus_rec_yd_100,bonus_rec_yd_200,season,position,points_freedom,points_uww,ppg_freedom,ppg_uww,pos_rank_freedom_tot,pos_rank_freedom_per,rank_freedom_tot,rank_freedom_per,pos_rank_uww_tot,pos_rank_uww_per,rank_uww_tot,rank_uww_per,starter_freedom,starter_uww
7944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,QB,0.0,0.0,,,71.0,,484.0,,70.0,,483.0,,False,False
13108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
3423,16.0,,,,,,,,,4.0,15.0,,,2.0,,1.0,95.0,136.0,1096.0,3.0,599.0,497.0,4.0,12.0,1.0,1.0,,827.0,1064.0,,,,,3.0,,2020,WR,228.1,228.1,14.3,14.3,20.0,30.0,50.0,79.0,20.0,30.0,46.0,73.0,True,True
12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,RB,0.0,0.0,,,131.0,,484.0,,131.0,,483.0,,False,False
3496,16.0,,,,,,,,,,,,,,,,8.0,11.0,106.0,,26.0,80.0,,,,,,101.0,1188.0,,,,,,,2020,TE,18.6,18.6,1.2,1.2,66.0,72.0,353.0,409.0,66.0,72.0,352.0,405.0,False,False
4813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
1800,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,123.0,,,,,,,2020,TE,0.0,0.0,0.0,0.0,97.0,97.0,484.0,484.0,97.0,97.0,483.0,483.0,False,False
5100,15.0,,,,,,,,,84.0,308.0,1.0,10.0,167.0,8.0,5.0,12.0,16.0,105.0,,-38.0,143.0,1.0,2.0,,,,186.0,1041.0,,,,,,,2020,RB,59.3,59.3,4.0,4.0,69.0,82.0,240.0,286.0,69.0,82.0,239.0,285.0,False,False
7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
12848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,WR,0.0,0.0,,,188.0,,484.0,,188.0,,483.0,,False,False
8698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,TE,0.0,0.0,,,97.0,,484.0,,97.0,,483.0,,False,False
